Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
Houhai Bay,Bay,DM2,2016-01-24,1,surface layer,1.9,3.8,38,3.4,12000,15000,0.75,0.14,7.1,2.7,21.6,0.9,4.1,29,14.8,1.4,1.1,1.99,0.22,17,0.001,5.6,4.8,0.53
Houhai Bay,Bay,DM2,2016-01-25,1,surface layer,2.2,11,64,5.7,980,1300,1.3,0.18,7.4,4.1,17.5,1,6.7,19,15.7,2.48,1.4,2.88,0.2,13.8,0.006,3.7,4.4,0.43
Houhai Bay,Bay,DM2,2016-01-26,1,surface layer,5.4,1.3,34,2.8,29000,45000,0.71,0.15,7,7.1,8.9,1,7.9,78,22.6,2.86,2.9,3.76,0.29,47.5,0.009,9.2,5.6,0.61
Houhai Bay,Bay,DM2,2016-01-27,1,surface layer,1.3,1.4,45,3.4,3200,5700,0.68,0.16,6.9,2.4,8.4,1,10,26,27.3,2.04,2,2.84,0.33,17.3,0.006,3.3,1.9,0.35
Houhai Bay,Bay,DM2,2016-01-28,1,surface layer,4.4,2.6,59,4.2,1200,3200,0.58,1,7.2,7.8,5.6,1.1,14,110,31.5,2.68,2.7,4.28,0.41,63.6,0.016,14,3.4,0.24
Houhai Bay,Bay,DM2,2016-01-29,1,surface layer,11,4.8,46,3.6,690000,1300000,0.011,<0.002,6.7,7.6,0.3,1,14,110,28,2.61,7.1,7.11,0.86,84.7,0.009,17,0.29,0.056
Houhai Bay,Bay,DM2,2016-01-30,1,surface layer,1.5,2.8,76,5.9,9500,37000,0.44,0.26,7.2,5.4,2.7,1.5,9.4,27,27.2,2.4,3.6,4.3,0.3,40.3,0.016,4.1,1.1,0.18
Houhai Bay,Bay,DM2,2016-01-31,1,surface layer,2,5.4,90,6.3,750,2300,0.59,0.26,7.3,4,12.1,1.4,8.6,12,30.6,1.59,1.6,2.45,0.39,24.5,0.012,2,2.1,0.23
Houhai Bay,Bay,DM2,2016-02-01,1,surface layer,4.6,19,53,3.9,7000,13000,0.84,0.48,7,7,10.2,1.3,15,41,29.2,3.02,2.9,4.22,0.38,19.7,0.012,7.4,2.6,0.3
Houhai Bay,Bay,DM2,2016-02-02,1,surface layer,2.8,4.9,100,7.4,900,2400,0.95,0.36,7.1,3.6,17.9,1.5,6.3,87,25.2,2.28,1.2,2.51,0.36,52.6,0.007,10,2.3,0.27
Houhai Bay,Bay,DM2,2016-02-03,1,surface layer,1.5,2.1,62,4.9,600,1600,0.96,0.33,7.6,0.3,19.7,1,7.8,13,21,2.89,1.9,3.19,0.27,9.1,0.021,2.3,2.2,0.31
Houhai Bay,Bay,DM3,2016-02-04,1,surface layer,0.9,4.7,77,6.1,95,130,0.72,0.13,8.1,3.3,24.1,1.5,1.3,20,19.6,1.18,0.71,1.56,0.17,6.6,0.013,3.3,0.89,0.14
Houhai Bay,Bay,DM3,2016-02-05,1,surface layer,1.1,1.2,53,4.9,5100,9300,0.71,0.17,7.3,<0.2,19.3,1.2,4.3,3,13.8,1.71,1.4,2.28,0.22,4.1,0.004,0.9,1.3,0.17
Houhai Bay,Bay,DM3,2016-02-06,1,surface layer,1,2.7,73,6.2,39,58,0.79,0.07,7.7,0.7,23,2,3.7,3.7,16.3,1.21,0.57,1.43,0.09,2.6,0.004,0.8,0.95,0.14
Houhai Bay,Bay,DM3,2016-02-07,1,surface layer,1.3,1,72,5.8,900,1500,0.93,0.15,7.4,1.6,15.1,1.5,5.4,7.5,22.1,1.57,0.67,1.75,0.1,5.6,0.005,1.2,0.47,0.057
Houhai Bay,Bay,DM3,2016-02-08,1,surface layer,0.8,2.4,59,4.4,320,1100,1.2,0.11,7.2,1.3,11,1.5,9,7.1,26.8,1.66,0.61,1.92,0.14,4.9,0.003,1.6,0.43,0.094
Houhai Bay,Bay,DM3,2016-02-09,1,surface layer,1.3,7.6,87,6.1,43,70,1.2,0.11,7.6,13,9.1,1,5,39,31.1,1.42,0.35,1.66,0.17,21.4,0.004,6.8,3.4,0.43
Houhai Bay,Bay,DM3,2016-02-10,1,surface layer,2.6,2.6,70,5.2,230,670,0.91,0.3,7,2.2,8,1.5,9.5,11,29.2,1.95,1.5,2.71,0.31,9.6,0.006,2.2,0.4,0.058
Houhai Bay,Bay,DM3,2016-02-11,1,surface layer,0.8,3.1,92,6.7,1400,5700,0.73,0.18,7.3,1.7,14.4,1.5,5.6,12,27.6,1.4,0.82,1.73,0.2,11.3,0.006,2.2,0.25,0.048
Houhai Bay,Bay,DM3,2016-02-12,1,surface layer,1.3,2.4,82,5.6,33,88,0.76,0.16,7.4,1.4,20,1.5,6,9.6,29.4,1.23,0.58,1.5,0.22,14.1,0.006,1.2,0.14,0.044
Houhai Bay,Bay,DM3,2016-02-13,1,surface layer,1.9,3.3,71,4.9,5,21,0.59,0.27,7.3,2.5,20.6,1.4,8.5,10,28.8,1.26,0.59,1.45,0.2,4.8,0.005,4.2,0.41,0.094
Houhai Bay,Bay,DM3,2016-02-14,1,surface layer,0.6,2.5,96,6.9,41,76,0.78,0.22,7.3,1.8,22.6,1.6,4,13,25.9,1.23,0.47,1.47,0.14,13.7,0.002,1.8,0.67,0.094
Houhai Bay,Bay,DM3,2016-02-15,1,surface layer,0.7,2.3,81,6.2,97,140,0.65,0.15,7.8,1.1,25.5,1,4.3,9.9,21.2,1.34,0.78,1.58,0.18,6,0.013,1.7,0.71,0.12
Houhai Bay,Bay,DM4,2016-02-16,1,surface layer,0.5,1.9,79,6.3,440,540,0.74,0.094,8.2,<0.2,24.6,2,3.4,5.6,19.9,1.14,0.55,1.38,0.11,3.2,0.014,1.5,0.31,0.055
Houhai Bay,Bay,DM4,2016-02-17,1,bottom layer,0.6,2,85,6.7,460,620,0.67,0.09,8.2,0.4,24.8,2,3.1,7,19.8,1.07,0.5,1.26,0.09,3.8,0.014,1.5,0.32,0.048
Houhai Bay,Bay,DM4,2016-02-18,1,surface layer,0.8,1.3,74,6.7,510,760,0.58,0.11,7.5,<0.2,21,2,3.4,1.7,13.8,1.22,0.79,1.48,0.19,1.3,0.003,1.2,0.55,0.086
Houhai Bay,Bay,DM4,2016-02-19,1,bottom layer,0.8,1.2,82,6.8,90,150,0.47,0.11,7.7,0.3,28.9,2,3,5.3,15.9,1.18,1.1,1.68,0.15,2.3,0.006,1.1,0.51,0.085
Houhai Bay,Bay,DM4,2016-02-20,1,surface layer,1.7,6,85,7.1,110,170,0.58,0.045,7.8,1.3,24.3,2.5,2.7,3.1,16.5,0.9,0.48,1.11,0.07,1.9,0.005,1.1,0.44,0.043
Houhai Bay,Bay,DM4,2016-02-21,1,bottom layer,0.8,2.9,86,7.2,100,130,0.44,0.033,7.9,0.2,25,2.5,2,3.6,16.6,0.69,0.31,0.78,0.04,2.1,0.004,0.9,0.41,0.049
Houhai Bay,Bay,DM4,2016-02-22,1,surface layer,0.7,<0.2,66,5.4,430,680,0.98,0.2,7.4,<0.2,12.7,1.5,5.4,4.4,21.6,1.53,0.58,1.76,0.07,4.3,0.004,0.7,0.59,0.09
Houhai Bay,Bay,DM4,2016-02-23,1,bottom layer,0.9,0.3,70,5.7,450,640,0.97,0.2,7.5,<0.2,14.9,1.5,5.5,5.2,21.6,1.56,0.51,1.68,0.07,3.9,0.005,0.7,0.39,0.069
Houhai Bay,Bay,DM4,2016-02-24,1,surface layer,0.6,1.2,64,4.8,290,1400,1.3,0.092,7.3,1,10.9,1.5,8.5,5.6,26.7,1.6,0.35,1.74,0.09,4.8,0.003,1.5,0.3,0.064
Houhai Bay,Bay,DM4,2016-02-25,1,bottom layer,0.6,0.9,67,5.1,480,1200,1,0.073,7.3,<0.2,13,1.5,6.9,5.6,26.1,1.23,0.24,1.31,0.09,4.2,0.002,1.4,0.22,0.054
Houhai Bay,Bay,DM4,2016-02-26,1,surface layer,0.9,3.1,75,5.4,38,100,1.4,0.095,7.5,5.4,8.9,1.5,7.5,38,30.1,1.6,0.38,1.88,0.12,20.4,0.002,6,1.2,0.19
Houhai Bay,Bay,DM4,2016-02-27,1,bottom layer,1.6,4.6,79,5.7,44,98,1.4,0.097,7.5,5.4,8.9,1.5,7.2,30,30.1,1.62,0.41,1.91,0.15,22.2,0.003,3.2,1.1,0.17
Houhai Bay,Bay,DM4,2016-02-28,1,surface layer,0.9,1.7,74,5.4,57,300,1.1,0.16,7.2,1.5,10.3,1.5,9,3.6,28.9,1.67,0.78,2.04,0.25,4.4,0.004,1.4,0.54,0.053
Houhai Bay,Bay,DM4,2016-02-29,1,bottom layer,1,1.8,63,4.6,150,400,1,0.094,7.1,0.9,10.5,1.5,8.2,7.2,28.9,1.35,0.47,1.56,0.19,5.4,0.002,1.4,0.54,0.066
Houhai Bay,Bay,DM4,2016-03-01,1,surface layer,0.6,2.1,70,5,930,3400,0.69,0.11,7.4,1.2,18.2,2,3.9,9.5,27.3,1.06,0.41,1.21,0.13,13.7,0.004,1.6,0.099,0.029
Houhai Bay,Bay,DM4,2016-03-02,1,bottom layer,0.8,1.5,66,4.7,840,3200,0.69,0.099,7.4,2.3,18.3,2,3.9,21,27.3,0.97,0.28,1.07,0.15,8.7,0.003,2.2,0.12,0.048
Houhai Bay,Bay,DM4,2016-03-03,1,surface layer,0.8,2,87,5.9,32,78,0.8,0.14,7.5,1.1,20.7,1.6,5.4,7,28.9,1.13,0.36,1.3,0.18,18,0.004,1.2,0.038,0.03
Houhai Bay,Bay,DM4,2016-03-04,1,bottom layer,0.9,1.4,55,3.8,47,110,0.73,0.13,7.5,0.3,20.7,1.6,4.7,8.6,28.9,0.98,0.34,1.2,0.14,7.8,0.002,1,0.053,0.036
Houhai Bay,Bay,DM4,2016-03-05,1,surface layer,1.3,2.8,62,4.2,4,9,0.49,0.17,7.4,0.5,23.9,1.5,5.9,8.2,28.8,0.81,0.25,0.91,0.13,3.3,0.002,5.7,0.066,0.033
Houhai Bay,Bay,DM4,2016-03-06,1,bottom layer,1.4,2.5,83,5.6,14,24,0.21,0.11,7.4,0.3,26.6,1.5,2.6,3.7,28.9,0.41,0.13,0.45,0.1,5.3,0.001,0.6,0.08,0.035
Houhai Bay,Bay,DM4,2016-03-07,1,surface layer,0.4,1.7,98,6.8,90,170,0.63,0.18,7.4,1,25.7,1.9,2.7,9.4,26.6,0.92,0.26,1.07,0.08,11.5,0.002,1.1,0.15,0.023
Houhai Bay,Bay,DM4,2016-03-08,1,bottom layer,0.3,2.2,74,5.2,270,450,0.63,0.18,7.4,0.5,25.7,1.9,2.7,11,26.6,0.91,0.43,1.24,0.14,9.4,0.001,1.3,0.13,0.019
Houhai Bay,Bay,DM4,2016-03-09,1,surface layer,0.4,1.4,86,6.3,80,110,0.33,0.094,8,0.8,28.9,1.5,2.4,7.7,22.1,0.6,0.35,0.77,0.07,4.4,0.007,1.3,0.16,0.024
Houhai Bay,Bay,DM4,2016-03-10,1,bottom layer,0.3,1.3,86,6.4,110,140,0.33,0.095,8,0.9,29.1,1.5,2.4,9.6,22,0.61,0.4,0.83,0.12,5.9,0.007,1.4,0.14,0.018
Houhai Bay,Bay,DM5,2016-03-11,1,surface layer,0.4,2.8,77,6,110,160,0.56,0.076,8.2,0.8,26.7,2,2.5,4.6,20,0.91,0.57,1.21,0.11,2.6,0.014,1.6,0.25,0.057
Houhai Bay,Bay,DM5,2016-03-12,1,middle layer,0.5,2.8,89,6.9,530,920,0.5,0.069,8.2,0.7,27.5,2,2.3,4.4,19.9,0.81,0.75,1.32,0.08,2.2,0.013,1.2,0.28,0.056
Houhai Bay,Bay,DM5,2016-03-13,1,bottom layer,0.8,3,89,6.8,290,430,0.51,0.066,8.3,0.3,28.8,2,2.4,8.8,19.9,0.84,0.7,1.28,0.08,2.7,0.015,1.2,0.22,0.052
Houhai Bay,Bay,DM5,2016-03-14,1,surface layer,0.9,1.3,86,7.5,430,660,0.6,0.092,7.7,<0.2,24.3,2,3.5,1.5,14.5,1.14,0.94,1.63,0.19,1.3,0.004,0.6,0.26,0.044
Houhai Bay,Bay,DM5,2016-03-15,1,middle layer,0.8,1,88,7.2,200,460,0.17,0.025,7.8,<0.2,30.4,2,1.1,1.5,16,0.35,0.44,0.64,0.03,1,0.002,0.5,0.28,0.045
Houhai Bay,Bay,DM5,2016-03-16,1,bottom layer,0.8,1.3,88,7.1,45,100,0.62,0.13,7.8,<0.2,30.8,2,4,3.7,16.2,1.45,1.2,1.95,0.18,1.1,0.01,0.9,0.27,0.046
Houhai Bay,Bay,DM5,2016-03-17,1,surface layer,1.8,9,74,6.2,290,360,0.3,0.021,8,0.4,26.2,2.5,1.5,4.2,16.8,0.46,0.33,0.65,0.03,1.6,0.003,1.4,0.38,0.044
Houhai Bay,Bay,DM5,2016-03-18,1,middle layer,1.2,4.8,90,7.3,290,450,0.24,0.015,8,0.4,28.5,2.5,1.2,2.4,17,0.38,0.39,0.65,0.02,1.1,0.003,0.8,0.25,0.028
Houhai Bay,Bay,DM5,2016-03-19,1,bottom layer,1.3,5.3,91,7.3,590,840,0.25,0.016,8,0.3,29.2,2.5,1.3,2.3,17,0.4,0.35,0.62,0.03,1.3,0.003,1,0.23,0.026
Houhai Bay,Bay,DM5,2016-03-20,1,surface layer,1,0.7,71,5.8,430,690,1.1,0.21,7.5,<0.2,13.4,1.8,6.1,5,21.6,1.65,0.51,1.82,0.07,4.1,0.004,0.6,0.45,0.059
Houhai Bay,Bay,DM5,2016-03-21,1,middle layer,0.8,0.3,79,6.1,220,330,0.47,0.067,7.7,<0.2,23.9,1.8,2.9,4.2,20.9,0.8,0.34,0.88,0.06,2.4,0.005,0.7,0.23,0.038
Houhai Bay,Bay,DM5,2016-03-22,1,bottom layer,0.7,0.3,83,6.4,110,240,0.36,0.045,7.8,<0.2,26.1,1.8,2.3,10,20.7,0.64,0.27,0.68,0.11,5.4,0.005,1.8,0.16,0.034
Houhai Bay,Bay,DM5,2016-03-23,1,surface layer,0.8,1.4,65,5,560,2100,1.5,0.084,7.2,1.2,8.2,1.5,10,8.4,26.2,1.73,0.35,1.93,0.09,8.3,0.001,1.6,0.18,0.037
Houhai Bay,Bay,DM5,2016-03-24,1,middle layer,0.6,0.8,67,4.9,890,2000,1.1,0.071,7.5,0.5,17.7,1.5,6.8,5.2,25.4,1.32,0.25,1.42,0.08,3.6,0.002,1.6,0.16,0.042
Houhai Bay,Bay,DM5,2016-03-25,1,bottom layer,0.5,0.6,63,4.6,370,880,0.48,0.052,7.5,<0.2,22.6,1.5,3.6,5.2,24.9,0.66,0.17,0.7,0.08,3.3,0.002,1.4,0.12,0.027
Houhai Bay,Bay,DM5,2016-03-26,1,surface layer,1.7,2.2,92,6.6,62,190,1.4,0.083,7.6,1.9,9.9,1.7,8.7,5.2,29.5,1.58,0.29,1.77,0.09,3,0.003,1,0.46,0.047
Houhai Bay,Bay,DM5,2016-03-27,1,middle layer,1.7,2.8,93,6.6,75,170,1.3,0.072,7.7,1.2,10.9,1.7,7.7,7.4,29.7,1.45,0.3,1.67,0.08,2.9,0.003,1,0.42,0.056
Houhai Bay,Bay,DM5,2016-03-28,1,bottom layer,1.3,1.5,93,6.7,110,120,1.2,0.064,7.6,3.1,12.6,1.7,6.9,9.7,29.1,1.35,0.25,1.51,0.07,6.1,0.003,1.6,0.32,0.049
Houhai Bay,Bay,DM5,2016-03-29,1,surface layer,1.8,1.5,78,5.8,600,800,1.3,0.074,7.2,2.8,10.8,2,8.3,3,28,1.49,0.41,1.78,0.13,3.9,0.001,1.2,0.12,0.032
Houhai Bay,Bay,DM5,2016-03-30,1,middle layer,1,1.2,67,4.9,600,1500,1.3,0.073,7.3,2,11.3,2,9,2.4,28,1.48,0.34,1.71,0.12,3.8,0.001,1,0.11,0.043
Houhai Bay,Bay,DM5,2016-03-31,1,bottom layer,0.8,1.1,65,4.8,370,880,1.2,0.064,7.3,1.4,13.1,2,7.4,4,27.9,1.36,0.26,1.52,0.1,3.4,0.001,1.1,0.077,0.045
Houhai Bay,Bay,DM5,2016-04-01,1,surface layer,0.5,1.7,78,5.5,230,510,0.61,0.068,7.6,1.3,22.1,2,3.8,4.1,26.9,0.81,0.2,0.88,0.13,5.8,0.003,1,0.07,0.03
Houhai Bay,Bay,DM5,2016-04-02,1,middle layer,0.5,1.8,72,5.1,400,840,0.6,0.07,7.6,0.4,22.1,2,3.7,4.2,26.9,0.8,0.24,0.91,0.1,4.2,0.003,1,0.075,0.035
Houhai Bay,Bay,DM5,2016-04-03,1,bottom layer,0.6,1.5,71,5,310,920,0.6,0.071,7.6,0.7,22.2,2,3.7,4.3,26.8,0.8,0.21,0.88,0.09,4.6,0.003,1,0.086,0.029
Houhai Bay,Bay,DM5,2016-04-04,1,surface layer,0.9,1.2,78,5.4,77,120,0.78,0.13,7.6,1,21.8,1.6,5,2.8,28.7,1.02,0.26,1.17,0.14,10.5,0.003,0.6,0.077,0.038
Houhai Bay,Bay,DM5,2016-04-05,1,middle layer,0.9,1.7,64,4.4,90,200,0.81,0.14,7.6,1.7,22.2,1.6,5.7,3.6,28.6,1.14,0.38,1.33,0.19,4.2,0.005,0.6,0.059,0.029
Houhai Bay,Bay,DM5,2016-04-06,1,bottom layer,0.8,1.7,64,4.4,110,210,0.74,0.13,7.6,<0.2,23.3,1.6,4.7,3.9,28.2,0.97,0.31,1.18,0.13,8,0.003,0.6,0.065,0.032
Houhai Bay,Bay,DM5,2016-04-07,1,surface layer,1.5,2.4,61,4.1,370,690,0.41,0.15,7.6,0.7,27.8,1.7,4.8,14,28.7,0.68,0.24,0.8,0.15,3.2,0.003,5.5,0.068,0.036
Houhai Bay,Bay,DM5,2016-04-08,1,middle layer,1.5,2.7,75,5,2000,3900,0.27,0.13,7.6,<0.2,29.4,1.7,3.4,3,28.7,0.48,0.16,0.56,0.06,4.1,0.002,1.2,0.06,0.032
Houhai Bay,Bay,DM5,2016-04-09,1,bottom layer,1.6,2.8,75,4.9,2400,4700,0.19,0.097,7.6,0.4,29.7,1.7,2.5,8.8,28.6,0.37,0.17,0.46,0.06,7.8,0.002,1.5,0.036,0.022
Houhai Bay,Bay,DM5,2016-04-10,1,surface layer,0.7,2.2,91,6.2,240,490,0.37,0.13,7.5,1.8,27.9,2,1.9,6.2,26.8,0.57,0.37,0.87,0.08,9.4,0.001,1,0.078,0.013
Houhai Bay,Bay,DM5,2016-04-11,1,middle layer,0.5,2.3,81,5.5,470,950,0.38,0.12,7.5,1.7,28,2,1.8,7.1,26.8,0.57,0.35,0.85,0.07,5.8,0.001,1,0.077,0.009
Houhai Bay,Bay,DM5,2016-04-12,1,bottom layer,0.4,1.6,85,5.8,470,960,0.38,0.12,7.5,1.3,28.4,2,1.7,9.1,26.8,0.58,0.42,0.92,0.07,7.1,0.001,1.6,0.079,0.015
Houhai Bay,Bay,DM5,2016-04-13,1,surface layer,0.4,1.4,81,5.9,630,1100,0.27,0.085,8.1,0.4,29.6,1.5,2,5.2,22.2,0.46,0.22,0.58,0.05,3.2,0.004,0.8,0.11,0.028
Houhai Bay,Bay,DM5,2016-04-14,1,middle layer,0.4,0.7,87,6.4,310,690,0.19,0.07,8.1,0.3,30.4,1.5,1.6,8.1,22.4,0.33,0.33,0.59,0.05,3.7,0.003,1.6,0.11,0.024
Houhai Bay,Bay,DM5,2016-04-15,1,bottom layer,0.5,1.2,88,6.4,450,1000,0.16,0.063,8.1,1.4,31,1.5,1.5,18,22.7,0.29,0.49,0.71,0.05,10.1,0.003,2.2,0.11,0.019
Eastern Buffer Zone,Bay,EM1,2016-04-16,1,surface layer,1,1.4,95,7.3,14,26,0.14,0.021,7.6,0.5,31.7,4,0.94,0.6,19.4,0.19,0.39,0.55,0.05,2.3,<0.001,<0.5,0.24,0.035
Eastern Buffer Zone,Bay,EM1,2016-04-17,1,middle layer,0.8,2,98,7.5,13,20,0.14,0.022,7.6,<0.2,31.8,4,0.94,0.9,19.4,0.19,0.5,0.66,0.03,2.3,<0.001,0.7,0.17,0.009
Eastern Buffer Zone,Bay,EM1,2016-04-18,1,bottom layer,0.7,1.3,93,7.1,120,140,0.16,0.021,7.6,0.3,31.9,4,0.98,<0.5,19.5,0.23,0.55,0.73,0.03,2.3,<0.001,<0.5,0.085,0.02
Eastern Buffer Zone,Bay,EM1,2016-04-19,1,surface layer,0.9,3.3,97,8.1,100,130,0.17,0.018,8,<0.2,30.9,4.3,0.88,1.4,15.3,0.23,0.62,0.81,0.03,0.4,0.001,0.6,0.24,0.04
Eastern Buffer Zone,Bay,EM1,2016-04-20,1,middle layer,1.1,2.8,97,8,120,130,0.17,0.019,8,<0.2,31,4.3,0.89,0.9,15.4,0.24,0.64,0.83,0.03,0.5,0.001,0.5,0.15,0.033
Eastern Buffer Zone,Bay,EM1,2016-04-21,1,bottom layer,0.7,1,97,8,100,110,0.16,0.019,8,<0.2,31,4.3,0.89,1.1,15.4,0.23,0.68,0.86,0.03,0.5,0.001,<0.5,0.084,0.023
Eastern Buffer Zone,Bay,EM1,2016-04-22,1,surface layer,2.4,11,114,9.1,10,20,0.051,<0.002,7.8,4.1,31.1,3.5,1,3.2,17.2,0.13,0.32,0.37,0.03,2.6,0.001,1.6,0.16,0.025
Eastern Buffer Zone,Bay,EM1,2016-04-23,1,middle layer,1.4,1.4,110,8.9,27,38,0.039,<0.002,7.7,<0.2,31.2,3.5,0.96,6.4,16.6,0.1,0.44,0.48,0.03,2.4,<0.001,1.4,0.15,0.025
Eastern Buffer Zone,Bay,EM1,2016-04-24,1,bottom layer,1,0.9,107,8.6,1,2,0.039,<0.002,7.7,<0.2,31.4,3.5,0.95,3.6,16.5,0.1,0.3,0.34,0.02,2.5,<0.001,1,0.079,0.009
Eastern Buffer Zone,Bay,EM1,2016-04-25,1,surface layer,1.3,1.2,107,8.1,66,170,0.037,0.005,8,0.4,32.2,5,0.63,8.9,19.8,0.12,0.46,0.5,0.04,0.6,0.003,1.6,0.2,0.029
Eastern Buffer Zone,Bay,EM1,2016-04-26,1,middle layer,1.2,0.7,96,7.3,54,180,0.04,0.005,8,1.5,32.4,5,0.64,8.6,19.4,0.12,0.29,0.34,0.02,0.9,0.002,1.4,0.17,0.021
Eastern Buffer Zone,Bay,EM1,2016-04-27,1,bottom layer,0.4,0.4,89,6.8,52,92,0.041,0.007,7.9,<0.2,33.3,5,0.66,8.8,19.1,0.12,0.24,0.29,<0.02,1.8,0.002,1,0.045,0.018
Eastern Buffer Zone,Bay,EM1,2016-04-28,1,surface layer,0.9,0.5,81,5.8,420,650,0.049,0.01,7.6,<0.2,31.7,3.5,0.64,2.3,22.8,0.16,0.66,0.72,0.04,1.2,0.002,0.7,0.18,0.035
Eastern Buffer Zone,Bay,EM1,2016-04-29,1,middle layer,0.9,0.8,82,5.9,290,450,0.031,0.007,7.6,<0.2,32.1,3.5,0.59,2,22.5,0.12,0.31,0.35,0.03,1.4,0.001,<0.5,0.18,0.035
Eastern Buffer Zone,Bay,EM1,2016-04-30,1,bottom layer,0.8,0.5,83,6,100,270,0.024,0.007,7.6,<0.2,32.2,3.5,0.59,2.3,22.4,0.1,0.4,0.43,0.03,1.4,0.001,<0.5,0.14,0.031
Eastern Buffer Zone,Bay,EM1,2016-05-01,1,surface layer,1.3,5.5,86,5.7,140,840,0.22,0.022,7.8,2.4,29.4,3.5,0.94,12,27.4,0.31,0.22,0.46,0.06,0.9,0.002,1.8,0.13,0.017
